Company,Free Cash Flow Firm Q/Q Growth,EBIT Q/Q Growth,Profit (Net Income) Margin,Net Profit,MarketCap,,,
AAPL,0.019964,0.022169,0.215499,51473536793,9.80449E+11,,,
MSFT,-0.029103,0.060779,0.115677,10913003111,7.98807E+11,,,
GOOG,-0.235011,0.136947,0.141892,14302643303,8.08944E+11,,,
AMZN,-0.11391,0.25,0.020384,4156086391,8.44484E+11,,,
CROX,0.171277,0.608614,0.015097,14740355.7,1322274600,,,
HOG,3.229071,0.037344,0.092392,538323103.7,7385465300,,,
KODK,-0.677855,-1.473684,0.040496,6341463.4,223650000,,,
COF,-2.71988,0.100692,0.091196,2665000000,46966374000,,,
M,-0.016228,0.009408,0.063529,1879184466,12294660000,,,
MCD,0.067737,0.010385,0.240219,5976340057,1.29693E+11,,,
FB,0.075865,0.106924,0.40052,17489026584,5.63496E+11,,,
AAPL,0.019964,0.022169,0.215499,51473536793,9.80449E+11,,,
JPM,0.074594,0.064652,0.260303,26705000000,3.83998E+11,,,
BAC,-1.234121,0.016776,0.208719,18232000000,3.23784E+11,,,
TWTR,-0.528475,11.833384,0.005662,83159860.6,30711026100,,,
ADBE,0.347081,0.11032,0.24401,1896203686,1.26544E+11,,,
ACN,0.581029,0.026376,0.097036,3815650488,1.06363E+11,,,
IBM,-0.256768,-0.021475,0.070975,6010244420,1.33916E+11,,,
ORCL,0.06537,0.049688,0.092496,3901927835,1.96826E+11,,,
INTU,0.233996,0.124026,0.20385,1186756860,54889000000,,,
AMSWA,-0.859505,0.085475,0.19217,10115000,413542470,,,
AMD,2.257773,0.589744,0.027078,275778378.4,16281130000,,,
ASGN,0.110095,0.009273,0.06123,185770173.2,4302556640,,,
AMAT,-0.066033,0.091914,0.192368,3265940120,54631200000,,,
BGSF,-0.188845,0.075557,0.024812,8621395.8,179105085.4,,,
CA,3.551926,0.048735,0.112397,521688540.6,15130900000,,,
CCMP,0.169294,0.113693,0.133459,74266969.1,3120244654,,,
CDNS,-0.182709,0.013158,0.105235,216023838.4,12426442120,,,
JNJ,0.272546,-0.001756,0.015821,1320993231,3.3545E+11,,,
MO,0.092661,0.0044,0.418734,10121117318,1.06651E+11,,,
GE,-0.411681,0.155573,-0.054905,-3158697898,1.18436E+11,,,
F,0.027624,-0.02599,0.048713,4445980041,47568780000,,,
TSLA,-0.196717,-0.204297,-0.210727,-1980458400,54042147000,,,
NFLX,0.121142,0.152449,0.052586,246.6857,1.65484E+11,,,
GIS,0.057286,0.020022,0.141823,11.1592,24388500000,,,
WFC,0.182293,-0.042262,0.250511,13.6655,2.74048E+11,,,
EA,0.156811,0.026931,0.202524,40.9638,42725280000,,,
PEP,-0.114027,-0.005329,0.077017,29.5344,1.44187E+11,,,
ADBE,0.347081,0.11032,0.24401,67.3613,1.26544E+11,,,
FOX,0.048478,0.021587,0.147602,6041842423,73019400000,,,
QCOM,0.063498,-0.154424,-0.201504,-4423174261,89400960000,,,
KHC,0.326797,0.001183,0.423165,13671581496,70604480000,,,
MU,15.167031,0.293353,0.386921,10802788411,73561960000,,,
ADP,0.714593,0.010927,0.136016,33.8485,60182682000,,,
ATVI,0.021513,0.098022,0.047822,165.9605,57588300000,,,
MAR,-0.096406,0.004266,0.060839,36.2678,50738688000,,,
WMT,0.062317,-0.094339,0.019084,28.0104,2.5089E+11,,,
BRK.A,9.860938,-0.854402,0.181636,11.7044,4.65155E+11,,,
PYPL,-0.532594,0.048425,2.707042,53.9545,1.03701E+11,,,
XOM,2.5329,0.071595,0.080901,21217961342,3.50396E+11,,,
